TotalSalary,TotalSavings
55790.97182,6993.659343
47228.20914,1475.610709
57246.87385,5146.176186
70831.9848,6551.990774
73367.08555,9159.596405
69974.49162,9493.942752
40104.91446,958.6728559
46306.86776,6307.900216
63511.89053,9131.884004
61378.42075,5190.976647
24436.82595,428.624079
28416.2105,546.7968456
41629.39182,5217.433345
40962.46246,750.6774881
50404.80802,4098.629159
28064.91535,2061.780175
78345.74301,9114.42757
48576.49856,2337.348983
68141.50632,5708.868563
35177.11917,2128.890056
60277.19844,5772.387258
69073.37557,7720.592893
54943.82972,3294.198941
41848.21246,4458.830951
29441.69916,573.2799188
34319.26877,2193.336452
54681.23649,9547.875983
50830.24717,3255.356264
36400.18553,1292.877252
40044.89496,3497.347299
67612.46523,4930.27674
45972.15098,2366.370852
57842.41493,5863.836105
51616.81248,6453.143123
38386.01545,2964.390754
82467.24168,9565.934864
22886.1603,100
79426.35168,9900
55807.63357,7909.126625
49644.75928,3169.758337
28707.19295,1917.770344
45690.44101,5661.533342
49935.54524,3880.00605
57652.48755,6765.291095
61896.0295,4633.734513
48471.43329,4480.8725
64869.38628,9278.468091
48528.24358,3877.819321
38981.69756,5669.713863
22152.54662,187.126319
38888.78086,3284.306331
55024.72034,6805.776283
62642.86927,8416.753154
54987.99681,8189.723261
67005.41905,9315.708468
50353.04816,4459.092443
46431.50616,3557.094421
41496.67001,3323.31654
45571.87056,4893.801295
59551.84873,4304.087452
50366.64392,4899.578955
59508.39228,6722.316796
48745.49434,6684.067746
50535.43638,1819.648641
29316.90603,635.2684655
62808.64061,9399.307922
85057.79288,7941.319938
34294.61699,706.8986203
33384.581,1179.786071
72303.88152,9478.856968
38949.62888,981.9150092
71008.5263,8106.77514
31202.88617,100
44658.26086,1935.85031
35624.89079,2641.406277
59341.37974,6381.254935
60219.64988,7982.852187
58725.86324,7436.30688
42384.56489,5555.767392
64935.3103,8034.756699
49556.4587,5069.378675
72618.71124,8147.280246
33405.21965,2299.832794
48687.44148,3855.313612
43376.7323,4985.256141
58138.49829,7375.670224
66830.80844,7389.655708
41836.54767,2609.605515
30973.72616,1630.201435
46123.06126,3389.573705
54920.75378,5599.413413
42471.93457,2231.601914
31734.03495,2619.768637
59660.25302,7113.892961
72130.43615,9295.437617
62355.40655,6613.139809
29825.37021,827.481323
52883.64345,6261.592799
32929.14162,529.0196019
41405.10611,3311.268929
30291.91479,115.2301982
37645.12378,3392.155745
84997.00899,9770.313532
56664.11261,6589.908612
36822.04466,1341.370857
35274.31139,1216.603045
32255.44895,552.6903524
36979.79802,1019.258062
46272.94223,5832.436666
26781.99216,957.5288658
52473.84487,6114.704832
50063.78034,5239.317095
71006.67753,9098.744448
46768.19887,5809.209892
46760.37254,5295.12115
73050.68859,9400.999514
55463.41099,7197.488305
54887.83961,7585.586344
46717.50566,4537.082007
58341.59292,8736.695522
30940.62035,368.885464
43877.38772,1659.944432
41065.02389,4189.748843
47310.79009,5550.72811
39940.91862,1914.342181
41892.31521,2374.480472
39445.84623,3190.077652
55787.42436,6378.283794
32111.63346,2398.265318
71199.00343,9740.324238
34114.82461,1274.310904
60586.66569,4365.531753
23744.58721,477.5131421
44734.83331,2794.944483
47130.65067,3490.647804
45203.28211,7906.357404
55257.01713,6433.410186
45952.99813,1026.822055
43244.19383,2490.940841
31298.42235,1172.686729
59464.09954,8768.270261
50943.80266,4163.79135
31728.50475,1249.0383
32625.61513,2519.143417
33087.83685,2300.382315
49364.18944,3304.34168
46673.75817,4860.672486
27661.17715,976.5204193
71398.15474,8880.445163
68562.76543,9262.887564
64859.96387,8781.200839
38213.19983,1616.939275
55582.73571,5494.908537
58411.33123,6232.884135
61307.16139,9465.611133
71479.54189,9074.297859
55082.20172,4448.100555
39893.48946,2736.470485
26171.92165,259.8699955
49697.77183,5849.882364
28662.33878,1581.173384
43106.4912,1379.671743
61702.48686,7512.248907
62833.70356,6954.849523
56367.96682,5899.998239
58997.17504,6632.637961
66527.49443,9052.017147
29990.45835,1274.898157
48720.96992,5309.36304
40796.63782,2149.844859
32124.53735,916.8818615
20897.2822,155.6728044
41452.21654,3702.836757
41860.00847,3486.242416
39685.04649,1547.686037
38600.15872,3575.427787
60555.93265,6302.950315
47538.3959,6707.093259
55814.22395,7856.782373
36920.33378,1848.595619
60186.3754,7779.699367
30240.45071,2153.244493
55610.94173,5459.98659
56257.29851,4342.905975
20472.92799,1039.660478
81724.46226,7811.465275
66401.3968,8781.933486
30387.79971,4010.626689
54698.25385,6198.100425
44983.69528,3648.078124
44857.03824,7705.353884
70225.33662,9014.971968
67778.72684,8242.591759
46248.69796,6546.263943
54188.60325,7671.60391
26047.36343,455.1459376
34816.6771,3561.234504
37502.92327,1342.935397
36254.00099,2005.178729
61048.6174,6315.215139
59420.90357,5000.20296
28948.91535,1459.356877
51715.94719,6732.009076
35163.50616,799.3584795
43994.65706,4198.127066
53474.3083,5281.826271
49773.49941,5102.073216
63072.05331,6653.038916
52501.04441,5953.633853
32763.76443,3149.73415
59954.51102,7358.267611
40991.28071,6476.237604
44703.94657,1892.590738
41432.87807,5103.197693
77471.6437,9183.264453
66600.7451,7196.022306
61414.0789,7537.145245
64298.79345,8653.708414
37439.5175,1570.444343
51855.10199,6330.360031
24933.52214,346.0012444
54682.13443,6391.532283
