TotalSalary,TotalSavings
62243.43878,7060.839921
52334.98839,1470.577272
56367.94726,4639.553792
66803.94578,6617.48679
66536.05091,8924.658061
62381.28606,9145.259711
38853.83123,676.3560237
39406.28331,6306.239466
60898.19091,9256.236985
56622.92648,4575.715948
29889.24992,658.0053625
32073.86347,1415.317336
41825.18474,5548.242618
36505.40878,1015.830953
53120.75762,4430.266229
25550.77751,2073.882008
71805.19971,8648.147758
46241.26931,2052.213219
71781.19283,6118.896323
32399.78817,1437.168669
67254.28104,6560.796881
73117.38653,8117.906915
58548.12233,3881.100331
44104.08881,5311.905176
33281.11102,1205.531652
32638.8495,1451.714091
54267.77873,9983.956736
42253.22996,2490.704021
34763.14799,1178.230256
36712.65574,3014.12966
74278.0204,5914.57798
45875.98682,2129.359017
65882.52743,6742.549173
59408.57156,7407.185703
36996.16338,3001.846401
76360.45839,8944.28073
29753.24558,338.3173806
76913.75452,9351.174628
55678.694,7721.305688
41772.25314,2511.906375
27428.43549,1730.155875
47390.75883,5509.570738
52744.58795,4472.439473
63369.79971,6987.6538
57892.10374,4345.49078
51464.8195,4616.568653
60310.32592,9374.682478
55405.40605,4669.509542
37154.15819,6009.373799
26724.46445,442.8294642
35644.9083,3143.932321
57363.89192,7595.89795
66969.86028,8614.638651
54799.93697,7823.437504
64730.03666,8940.95395
56067.48294,4213.327433
37854.38795,2928.603742
36609.02889,3057.392134
49943.82615,4857.041141
54986.17951,4278.003799
49329.9345,5114.004689
64804.93157,6802.554805
58118.99533,7479.358607
47876.79106,1885.51281
34482.54999,1229.172
62251.62011,9140.872802
81028.19977,7253.857096
38083.56887,904.3709344
31752.37601,1419.494356
66685.04667,8778.92764
35774.53456,1073.879674
72447.99136,8169.726896
35411.46955,966.3148241
43293.39622,2376.888882
37525.70199,2968.282176
65280.28202,6808.225691
69924.88046,8323.870538
58231.60759,7476.84144
42424.18201,5714.4769
66709.70076,8626.772027
46766.16821,5092.213987
74024.86467,7904.177353
27262.33161,1829.633758
53060.05625,4471.616676
48006.90823,4950.840484
59051.6319,7411.565337
71978.05611,8285.363178
42484.52655,2450.577549
30345.67905,1626.826335
41166.82136,2572.916719
49942.63463,5227.169484
44964.48635,2218.720867
26373.66862,2067.779413
59735.12785,7334.190837
64961.72221,8887.824
64821.04659,6803.821642
35364.51054,1094.721938
60407.71324,7248.414583
36549.1391,820.9675288
35605.11944,3149.469933
35036.34329,503.5704817
38777.51786,2836.063483
83018.50293,9274.186398
63984.29952,6883.386895
34198.15476,1227.511134
37476.00235,966.2368787
36349.47395,1070.702477
39272.33759,739.9768214
46696.90981,5604.380562
29164.61872,1678.400885
47912.77371,5456.980239
45482.45448,5333.664422
66967.62155,8623.864813
43886.9705,5719.860905
43169.42931,5411.612775
64100.93213,8889.474072
59640.8587,7361.587093
53697.06235,7931.230956
47939.88788,5000.60411
63840.77061,8970.279083
36422.06121,768.8346874
36620.13722,1038.772456
34474.45593,3242.075102
49064.36331,5247.47543
34199.27641,1252.286785
42119.22498,2496.223829
38705.78974,2827.352316
58000.66721,7489.504344
28220.69405,1835.095847
64498.25661,9318.703225
34627.36736,1212.409438
56494.0129,4483.482878
33876.24715,663.1836509
41689.18057,2460.777798
41259.7662,2588.569139
54316.2122,7858.654379
58366.11195,7450.299677
40820.24729,630.6919959
45154.46039,2193.880788
33779.62849,1293.67976
61871.50993,9157.898047
53141.94058,4533.352332
30939.66718,1525.939286
23621.79834,2262.327054
26202.00343,2084.745987
43643.37558,2329.718448
49694.45851,4876.617558
30977.89021,1607.656569
68132.16114,8606.752478
68040.88477,8533.945719
65645.50344,8729.185043
32829.72717,1228.265276
55053.90161,4759.926838
64197.6319,6859.945128
63114.87886,8997.212247
68111.73712,8505.470428
56634.69691,4166.977343
38551.77838,2853.853118
31715.79842,575.0241149
47125.59239,5428.238845
29296.13793,1699.563638
40091.69622,662.3740499
61099.08829,7172.90159
62854.1038,7001.747479
66503.80824,6660.548132
59270.26456,7145.122003
66161.2742,8681.177305
33282.82485,1269.553414
46125.3078,5649.459938
42886.62142,2425.431641
33902.14049,1215.660558
24982.6181,142.5018853
38902.39327,2821.067596
34496.82459,3280.118711
34666.31613,1093.990415
36706.54326,2985.847578
66684.46391,6634.5851
39847.29406,6308.311017
55094.15676,7799.01833
30465.96407,1595.919372
56408.93861,7655.559867
27154.62134,1998.990267
49595.20651,4887.440172
55545.81873,4551.015139
26735.3376,1820.353045
78601.38875,7468.588483
66483.86453,8771.856328
28112.0711,3898.136629
61724.09235,7124.391489
41764.59339,2536.918056
52930.81245,7982.490618
66435.11896,8772.094479
69052.40975,8391.76191
43018.38054,5959.317293
54288.92492,7865.876205
27858.99043,1202.365879
32495.65871,3440.734419
37471.03624,950.5726545
32424.40549,1445.662004
64765.79921,6826.132064
55667.42443,4591.388434
30462.72971,1631.625417
55145.44325,7817.470113
35796.08946,1058.207592
48271.4823,4896.547531
52143.11402,4872.531948
51547.20467,4891.120664
62393.28013,7054.873671
49323.88739,5326.807443
32069.55248,3508.663792
60564.13617,7222.543436
41805.68952,5936.615766
42564.81354,2280.717981
47266.48974,5036.623032
74072.85136,8601.032515
62535.46421,7051.241912
55740.95334,7711.499264
65496.52542,8745.093525
33200.25898,1371.395567
62891.73694,6998.940724
29990.3955,413.8293373
64163.67914,6861.160658
