Age,Candy Consumption,Marital Status
3,14.44620353,0
3,16.45226894,0
3,14.89111785,0
3,14.03068211,0
3,16.16352161,0
3,13.16785549,0
3,14.39616488,0
3,13.58571361,0
3,13.54455408,0
4,17.31945288,0
5,15.26577848,0
5,15.5039792,0
6,11.1850331,0
6,14.49676317,0
6,13.06577188,0
6,14.1429824,0
6,11.55175337,0
6,14.36316086,0
7,14.59581104,0
7,14.28088345,0
7,14.20384108,0
7,14.87067016,0
7,16.34358416,0
7,13.20819124,0
8,14.03825288,0
8,12.87317875,0
8,13.77688643,0
9,13.94331234,0
10,12.98324633,0
10,13.36456387,0
10,12.97315013,0
10,14.50677756,0
10,16.36875169,0
10,11.93861226,0
10,16.0043395,0
10,14.06777004,0
11,13.24004536,0
11,12.18633897,0
11,14.78615973,0
11,12.16201699,0
12,12.8168064,0
12,14.36886182,0
12,12.3868492,0
12,13.68517789,1
12,13.12059402,0
13,11.96321907,0
13,10.33408066,0
13,15.10529447,0
13,15.02903879,0
13,12.4586771,0
14,13.5676118,0
14,12.09175805,1
14,11.68374501,0
14,14.52390329,1
14,13.12989053,1
14,13.40385998,0
14,13.42021444,0
15,11.93123626,1
15,12.52705228,1
15,11.12810867,0
15,13.01937178,0
15,12.71932419,0
15,10.26136871,1
15,12.89063835,1
15,13.45648337,0
16,12.66318055,1
16,13.60643964,1
16,12.57110155,1
16,15.05262633,1
16,12.39021456,0
16,12.76353934,1
17,13.21741957,1
17,12.48364088,1
17,12.07125043,0
17,12.56822857,0
18,13.83549194,1
18,11.99929353,0
18,11.98960445,0
18,12.07697506,0
18,14.53655764,1
18,13.62287488,1
18,14.33564522,1
18,10.54458722,0
18,12.17573653,1
18,12.57839402,0
18,11.29382072,0
19,10.79229208,1
19,11.25127701,0
19,13.32661209,1
19,12.23388416,1
19,12.64106687,0
19,12.72652899,1
19,14.11721697,1
19,14.26276968,1
19,12.68241842,0
19,12.90342021,0
19,12.33764974,0
19,14.932097,0
19,10.64291691,0
19,12.61611055,1
19,11.93909352,0
20,11.05950086,0
20,11.65787016,1
20,11.04909398,1
21,12.20272836,1
21,10.37044396,1
21,11.55075524,1
21,11.29028597,1
21,10.21618863,1
21,14.50229576,0
21,12.29669504,1
21,13.59338178,1
21,9.957681618,1
22,9.527783609,1
22,10.81201052,1
22,11.43731692,1
22,11.33177251,1
22,12.4087394,1
22,12.27010965,1
23,11.57211379,1
23,12.60670098,1
23,12.02846894,1
23,11.54574275,1
23,10.48667538,1
23,9.992064026,1
23,11.42972793,1
23,10.50203815,0
23,13.0241279,1
23,11.82705771,1
23,12.21613624,1
23,12.22211985,0
24,14.60289395,1
24,12.86444915,1
24,11.83789681,1
24,11.84211354,1
24,12.92673706,1
24,12.0411822,1
24,9.376471029,1
25,11.85490494,1
26,9.835281105,1
26,10.0975985,1
26,10.65398751,0
26,11.47251398,1
26,11.19044168,1
26,10.28447552,1
26,9.244870592,1
27,13.38174354,1
27,12.17892674,1
27,11.58029383,1
27,12.92160723,1
27,13.59006413,1
27,11.28142269,1
27,8.535243421,1
27,9.791671422,1
28,11.16657421,1
28,12.29329525,0
28,10.38777391,1
28,12.99998694,1
28,10.13994969,1
29,11.17415437,1
29,11.36276281,1
29,10.48475354,1
29,12.17734842,1
29,11.35977078,1
29,11.69775097,1
30,12.63944035,1
30,10.62393681,1
30,9.917537501,1
30,9.433991184,1
31,9.45259965,1
31,10.62236342,1
31,10.15956112,1
31,10.82954518,1
31,11.09979304,1
31,11.21099401,1
32,12.05995982,1
33,8.80752482,1
33,8.099683812,1
33,11.17113439,1
33,8.596399563,1
33,9.731693996,1
33,8.543056699,1
34,9.340660487,1
34,9.833886509,1
34,9.258786001,1
34,8.72804843,1
34,8.740595205,1
34,10.85223419,1
34,9.349685967,1
35,8.123337703,1
35,11.94851881,1
35,9.080232251,1
36,9.747191658,1
37,9.55605184,1
37,7.462114776,1
37,8.022985638,1
38,7.582124183,1
39,9.169023494,1
39,8.52851013,1
39,8.559382277,1
