amount of floating plastic waste,amount of oil spill waste,lake surface area,precipitate mineral concentration,dissolved mineral concentration,chemical treatment need for floating brown algae per unit area,chemical treatment need for floating blue-green algae per unit area,biomass weight in the lake,amount of nutrient excretion
72,27,9803,28,85,7,7,50369,27287
69,66,5858,35,94,6,6,9863,30189
128,15,7706,25,104,1,5,35281,19989
85,37,4375,15,103,9,3,64704,21570
30,2,6949,30,70,4,7,17561,19578
116,28,5396,31,60,8,5,62608,15188
43,17,3140,32,122,6,3,27151,29194
84,43,3551,21,108,4,4,37565,31483
71,72,5750,26,116,9,5,29927,15608
113,64,3830,24,136,10,5,38589,21032
81,65,3066,23,83,8,6,50361,27119
59,29,4074,27,87,11,4,55131,16570
62,93,1085,27,171,4,4,68820,25156
96,12,417,26,94,8,4,42404,17156
39,32,5082,24,42,3,4,80286,14991
78,126,4590,34,90,8,3,90126,16784
79,32,3239,28,84,5,5,51898,33327
62,69,9740,30,83,6,4,41620,18321
95,77,4758,36,129,5,6,51902,20713
82,20,8118,27,72,6,7,54713,25369
73,17,4844,33,131,6,1,27275,14950
103,3,5664,27,62,8,2,30938,21050
70,12,3753,25,73,6,7,21706,12008
102,58,5067,37,135,2,6,60549,8580
96,46,8861,31,54,3,1,31782,22683
114,25,7617,32,76,9,9,42563,28742
44,66,5527,32,104,7,5,41317,13108
40,43,4310,33,62,5,5,53479,24110
111,56,6052,28,145,7,6,51065,20925
66,21,6614,37,68,6,5,103986,13566
32,46,4925,21,66,5,3,22988,22314
82,66,1576,28,70,8,5,59281,12622
59,67,5197,36,110,8,7,72947,26231
136,8,5447,29,79,9,8,81079,847
56,23,1715,31,90,6,2,15454,27134
133,92,9219,33,137,7,7,57149,27707
74,62,7557,24,10,7,6,48753,20111
105,41,2819,31,137,7,6,30534,1306
87,105,1669,39,81,9,3,81148,7656
61,64,227,19,135,6,5,60354,26176
43,46,3761,26,59,4,8,55842,14858
88,65,8972,26,73,5,9,32811,21144
63,21,5653,32,111,4,2,60009,25963
61,41,3928,33,22,6,6,57500,22167
86,64,2607,22,91,4,6,12735,7563
91,45,4416,26,107,10,5,66179,11576
60,46,4903,28,116,9,2,71294,22255
109,109,4393,23,92,7,4,41819,14462
85,141,4032,27,119,8,4,84816,36217
68,15,7470,36,97,6,5,43420,18079
