studentid,year,grade,courseload
maddenbrooke0,2000,B,7
lbenford1,2010,B,11
ringlis2,2010,A,12
ascarlin3,2000,D,12
ikuzemka4,2000,A,15
kdanes5,2000,C,7
lveneur6,2000,F,13
losband7,2010,A,13
jweedall8,2000,B,6
bmarnes9,2010,A,5
swallwooda,2010,F,9
lmulvinb,2010,D,5
vloyc,2010,C,6
ckoberad,2010,D,9
kdemicoe,2010,F,5
kanthamf,2000,A,8
fkarczinskig,2000,B,15
jcottleh,2010,C,7
jmaudlingi,2000,B,7
tyallowleyj,2010,A,6
sgraalmank,2000,A,10
wblosel,2000,C,5
bmattiellim,2000,C,5
cboatwrightn,2010,A,11
agasperio,2010,F,9
cspellissyp,2010,B,14
djemmisonq,2010,F,8
rdjekicr,2010,A,9
hdaverns,2010,A,14
blovewellt,2000,D,12
lluggaru,2000,D,6
mkirkev,2000,A,7
laidlerw,2000,A,9
ryggox,2010,F,12
arohmery,2010,A,14
rthomenz,2010,A,6
mshackelton10,2000,B,12
rmatschek11,2010,F,15
dwoolliams12,2000,B,7
pfussey13,2010,D,9
rrain14,2000,F,5
cselcraig15,2000,C,13
asharrard16,2000,B,15
amuncie17,2000,A,13
mhinckley18,2000,A,11
cartrick19,2000,A,5
cisbell1a,2000,D,8
qdenidge1b,2010,A,5
nfoulger1c,2000,B,15
dallison1d,2010,C,11
jpalke1e,2010,F,8
gdunsmuir1f,2000,C,14
shencke1g,2010,C,5
jhillen1h,2010,D,5
ecrossdale1i,2010,F,11
pcoombs1j,2000,F,13
nsichardt1k,2000,D,8
bedmand1l,2000,B,6
prosensaft1m,2000,A,9
dgrestie1n,2010,B,9
echoffin1o,2010,F,6
irupke1p,2010,A,14
lkear1q,2000,C,5
lpagett1r,2010,C,13
zdroogan1s,2010,C,15
mpadkin1t,2010,A,6
htaplin1u,2010,F,9
eende1v,2010,A,12
pgentiry1w,2000,C,12
areyne1x,2010,F,13
cbeaston1y,2010,F,11
rhentzer1z,2010,B,6
bshiril20,2000,A,8
ckinvig21,2010,F,10
dphysic22,2000,D,15
ebuzza23,2010,C,9
wfranchyonok24,2010,C,12
bchurchley25,2010,C,8
dmaceur26,2010,D,11
kmacandie27,2010,A,5
jbisterfeld28,2000,B,10
mbowra29,2010,D,6
gclac2a,2010,A,14
cmaccollom2b,2000,D,14
britter2c,2010,F,12
vgasking2d,2010,F,6
ccammomile2e,2010,F,13
awoodnutt2f,2000,A,15
mguys2g,2000,C,9
moldall2h,2000,B,15
zmartini2i,2000,B,7
csterrie2j,2000,B,15
kfrancello2k,2010,B,6
sillwell2l,2010,A,13
pdumsday2m,2010,F,12
eredfern2n,2000,B,8
ehotchkin2o,2010,D,5
dkilmurray2p,2000,A,15
gfreschini2q,2010,D,14
eraun2r,2010,C,6
fduke2s,2010,A,14
jcluet2t,2010,D,14
cmussard2u,2010,B,11
cbraybrooks2v,2000,F,8
mrock2w,2000,B,8
mjedryka2x,2010,F,10
scolbert2y,2000,B,8
hcoley2z,2000,B,12
khapke30,2000,D,10
nclaybourn31,2000,B,11
gdeener32,2010,C,10
mchattington33,2000,B,7
dchrismas34,2010,F,6
jgiddings35,2000,B,5
jhouseman36,2000,A,8
cthaxter37,2010,D,14
ajacobowits38,2010,A,5
tderwin39,2010,A,7
bdjokic3a,2010,D,10
bmcelrea3b,2000,D,7
jtwells3c,2000,C,9
pscanderet3d,2000,C,10
mgrolmann3e,2010,B,10
cthrelkeld3f,2010,F,9
rmottram3g,2010,B,12
wjago3h,2010,F,15
cjackman3i,2000,A,10
abore3j,2010,F,12
liskow3k,2010,B,12
dmersh3l,2000,B,8
jbelward3m,2000,D,8
tdaubney3n,2000,A,9
asarath3o,2010,A,8
cgateley3p,2010,D,11
mgane3q,2010,F,7
kchasmoor3r,2000,C,15
tcoultar3s,2000,C,7
nskelhorn3t,2010,B,13
whubberstey3u,2000,C,15
lsahlstrom3v,2000,C,7
mmcellen3w,2010,A,5
gpendell3x,2000,B,15
blarrosa3y,2010,D,12
gbowling3z,2000,F,15
cvigers40,2010,B,13
jlilly41,2000,A,15
jcarff42,2000,C,7
dzorn43,2010,A,5
vcliburn44,2010,F,6
mwoodroofe45,2010,A,9
hkiddell46,2010,C,10
lmeardon47,2000,B,9
dmaude48,2010,B,8
agrimbleby49,2010,D,15
dscoines4a,2010,C,13
lleacy4b,2010,A,13
dlewerenz4c,2010,D,6
wpage4d,2010,C,8
wcutts4e,2000,A,7
mrenon4f,2010,D,15
slahy4g,2010,F,11
phatch4h,2000,D,12
plukacs4i,2000,D,13
aantonovic4j,2010,A,5
dailsbury4k,2000,A,13
bduell4l,2010,B,11
nstledger4m,2000,A,12
dhaney4n,2000,C,5
cjahnisch4o,2000,A,12
sbartosik4p,2000,C,10
hsalan4q,2000,F,8
vklaas4r,2010,D,5
ghearty4s,2010,A,5
adietzler4t,2010,D,9
htuison4u,2000,B,13
ndomm4v,2000,D,5
ftattam4w,2010,B,6
rdeathe4x,2000,F,11
rface4y,2010,D,14
nsambells4z,2000,F,10
msetchell50,2010,D,15
gmundy51,2010,D,11
agarton52,2010,D,9
ccecere53,2010,F,6
mrate54,2010,C,15
agoodenough55,2000,F,9
gdytham56,2000,D,8
abarks57,2010,C,7
dfashion58,2010,B,5
nbarnaby59,2010,D,8
idarbon5a,2000,B,9
aloton5b,2000,D,10
mdevitt5c,2000,B,6
fmonery5d,2010,A,9
gdalrymple5e,2000,C,12
isutty5f,2000,C,8
amcinnerny5g,2000,B,14
kgeggus5h,2010,C,10
ehunnam5i,2010,D,5
adennidge5j,2000,B,12
bmelmoth5k,2010,D,7
cpetegree5l,2000,F,9
fheadech5m,2000,F,5
gdaingerfield5n,2010,F,10
jbowley5o,2010,B,7
ccunnington5p,2010,C,14
crusse5q,2010,C,15
stocqueville5r,2010,F,5
dwharfe5s,2010,D,11
csivior5t,2010,F,10
pgammade5u,2010,A,10
rbaston5v,2000,C,9
fberndt5w,2010,C,9
cnind5x,2010,F,5
dshurlock5y,2010,D,14
lhuish5z,2010,F,13
akalinovich60,2000,A,14
emeindl61,2000,A,15
ahildred62,2010,A,13
mhabin63,2010,A,11
kclemoes64,2000,F,12
mlayton65,2000,A,8
mgawthrope66,2000,A,15
kcourtin67,2000,B,13
lbeaushaw68,2000,A,15
dcharer69,2000,C,10
wdinehart6a,2010,B,15
ddayne6b,2010,F,13
mbirth6c,2000,B,14
amanifold6d,2000,C,15
twilce6e,2010,C,7
cmawby6f,2000,A,8
rdownton6g,2000,A,12
tdewitt6h,2010,C,13
ibarnaclough6i,2010,F,6
lbisley6j,2010,D,12
rjannequin6k,2000,F,12
hchifney6l,2000,D,7
rbrombell6m,2010,B,6
rfalla6n,2000,B,5
gmatton6o,2010,C,15
ttowse6p,2010,F,5
vnabbs6q,2000,A,15
ckunes6r,2000,F,14
gadamides6s,2000,A,7
rdonovin6t,2010,D,11
lcauston6u,2010,C,12
myanson6v,2000,F,10
hcauldfield6w,2010,A,9
wlibbie6x,2000,A,14
wbothwell6y,2000,A,8
dreaman6z,2010,F,9
zgeale70,2010,F,9
mcrole71,2010,F,10
alefeaver72,2000,F,14
ppeacocke73,2000,B,12
vadrian74,2010,C,14
gstivani75,2010,B,12
pprendergrass76,2010,B,14
tdavy77,2000,D,13
glogan78,2010,D,13
gslisby79,2000,D,7
adonegan7a,2000,F,7
vkensley7b,2010,D,11
mdoblin7c,2000,F,5
jgurr7d,2000,A,13
tkenwood7e,2000,D,6
rwyllt7f,2010,B,12
ftessyman7g,2000,C,10
gwathall7h,2010,C,9
jbenedidick7i,2010,F,6
lshovlar7j,2010,D,10
sscarlin7k,2000,C,7
ebazire7l,2010,F,9
cmuncie7m,2000,D,10
cpalfreman7n,2010,B,15
askey7o,2010,F,11
mrobardet7p,2000,A,11
vtwaite7q,2000,C,6
sjouaneton7r,2000,D,6
btremethack7s,2000,F,12
wmecchi7t,2000,B,7
ahuman7u,2000,B,10
ubryer7v,2010,B,12
epeto7w,2010,A,8
wupsale7x,2010,D,9
credfield7y,2000,C,6
kkinnoch7z,2000,D,5
oeykel80,2000,A,5
ogiottini81,2000,F,11
smapletoft82,2000,D,10
gdrewell83,2010,B,11
ecauser84,2000,D,5
ajolliss85,2010,C,12
rwardington86,2010,C,9
ysandeman87,2000,F,10
fkiddle88,2000,A,7
cough89,2000,D,9
rkunrad8a,2010,B,9
hvasilenko8b,2010,F,5
bbreissan8c,2000,C,9
ldenisyev8d,2010,F,14
rtrevithick8e,2000,C,15
egaiter8f,2000,C,8
avasler8g,2010,B,12
reburne8h,2000,F,6
bmacsorley8i,2000,D,5
dknuckles8j,2000,B,13
wrishbrook8k,2010,B,9
sspurret8l,2000,B,7
bdavidy8m,2010,B,14
dstitt8n,2010,D,5
ylatore8o,2010,F,9
lsmale8p,2010,F,11
gdrakers8q,2010,A,7
tcomolli8r,2000,C,8
bpizer8s,2000,F,11
jbianco8t,2000,C,11
rcallendar8u,2000,C,7
dmebius8v,2010,C,12
mskehens8w,2000,C,7
dcuberley8x,2010,D,7
ailyushkin8y,2000,C,12
fgerbel8z,2010,D,12
costrich90,2000,B,14
amacfie91,2010,B,13
pclacey92,2010,D,8
mhawkswood93,2010,D,14
caronson94,2000,A,8
hrumbold95,2000,D,13
fgrioli96,2010,B,9
lpressey97,2000,D,8
hsaice98,2000,C,7
zworral99,2010,A,8
astollwerck9a,2010,B,5
wcrickmoor9b,2000,A,14
lallchin9c,2010,F,7
mtugwell9d,2010,A,5
pwhetnell9e,2000,F,6
tgraalman9f,2010,C,7
fgregoraci9g,2010,C,10
flock9h,2010,D,8
